"time"	"time"	"antispace"
0	0	1
10	10	0.9900498337
20	20	0.9801986733
30	30	0.9704455335
40	40	0.9607894392
50	50	0.9512294245
60	60	0.9417645336
70	70	0.9323938199
80	80	0.9231163464
90	90	0.9139311853
100	100	0.904837418
110	110	0.8958341353
120	120	0.8869204367
130	130	0.8780954309
140	140	0.8693582354
150	150	0.8607079764
160	160	0.852143789
170	170	0.8436648166
180	180	0.8352702114
190	190	0.8269591339
200	200	0.8187307531
210	210	0.810584246
220	220	0.802518798
230	230	0.7945336025
240	240	0.7866278611
250	250	0.7788007831
260	260	0.7710515858
270	270	0.7633794943
280	280	0.7557837415
290	290	0.7482635676
300	300	0.7408182207
310	310	0.7334469562
320	320	0.7261490371
330	330	0.7189237334
340	340	0.7117703228
350	350	0.7046880897
360	360	0.6976763261
370	370	0.6907343306
380	380	0.6838614092
390	390	0.6770568745
400	400	0.670320046
410	410	0.6636502501
420	420	0.6570468198
430	430	0.6505090947
440	440	0.6440364211
450	450	0.6376281516
460	460	0.6312836455
470	470	0.6250022683
480	480	0.6187833918
490	490	0.6126263942
500	500	0.6065306597
510	510	0.6004955788
520	520	0.594520548
