"time"	"time"	"antispace"
0	0	1
10	10	0.9900498337
20	20	0.9801986733
30	30	0.9704455335
40	40	0.9607894392
50	50	0.9512294245
60	60	0.9417645336
70	70	0.9323938199
80	80	0.9231163464
90	90	0.9139311853
100	100	0.904837418
110	110	0.8958341353
120	120	0.8869204367
130	130	0.8780954309
140	140	0.8693582354
150	150	0.8607079764
160	160	0.852143789
170	170	0.8436648166
180	180	0.8352702114
190	190	0.8269591339
200	200	0.8187307531
210	210	0.810584246
220	220	0.802518798
230	230	0.7945336025
240	240	0.7866278611
250	250	0.7788007831
260	260	0.7710515858
270	270	0.7633794943
280	280	0.7557837415
290	290	0.7482635676
300	300	0.7408182207
310	310	0.7334469562
320	320	0.7261490371
330	330	0.7189237334
340	340	0.7117703228
350	350	0.7046880897
360	360	0.6976763261
370	370	0.6907343306
380	380	0.6838614092
390	390	0.6770568745
400	400	0.670320046
410	410	0.6636502501
420	420	0.6570468198
430	430	0.6505090947
440	440	0.6440364211
450	450	0.6376281516
460	460	0.6312836455
470	470	0.6250022683
480	480	0.6187833918
490	490	0.6126263942
500	500	0.6065306597
510	510	0.6004955788
520	520	0.594520548
530	530	0.5886049697
540	540	0.5827482524
550	550	0.5769498104
560	560	0.5712090638
570	570	0.5655254387
580	580	0.5598983666
590	590	0.5543272847
600	600	0.5488116361
610	610	0.5433508691
620	620	0.5379444376
630	630	0.532591801
640	640	0.527292424
650	650	0.5220457768
660	660	0.5168513345
670	670	0.5117085778
680	680	0.5066169924
690	690	0.5015760691
700	700	0.4965853038
710	710	0.4916441975
720	720	0.486752256
730	730	0.4819089901
740	740	0.4771139155
750	750	0.4723665527
760	760	0.467666427
770	770	0.4630130683
780	780	0.4584060113
790	790	0.4538447953
800	800	0.4493289641
810	810	0.4448580662
820	820	0.4404316545
830	830	0.4360492863
840	840	0.4317105234
850	850	0.4274149319
860	860	0.4231620823
870	870	0.4189515492
880	880	0.4147829117
890	890	0.4106557528
900	900	0.4065696597
910	910	0.402524224
920	920	0.3985190411
930	930	0.3945537104
940	940	0.3906278354
950	950	0.3867410235
960	960	0.382892886
970	970	0.3790830381
980	980	0.3753110989
990	990	0.371576691
1000	1000	0.3678794412
1010	1010	0.3642189796
1020	1020	0.3605949402
1030	1030	0.3570069606
1040	1040	0.353454682
1050	1050	0.3499377491
1060	1060	0.3464558103
1070	1070	0.3430085174
1080	1080	0.3395955256
1090	1090	0.3362164937
1100	1100	0.3328710837
1110	1110	0.3295589611
1120	1120	0.3262797946
1130	1130	0.3230332564
1140	1140	0.3198190218
1150	1150	0.3166367694
1160	1160	0.3134861809
1170	1170	0.3103669413
1180	1180	0.3072787386
1190	1190	0.3042212641
1200	1200	0.3011942119
1210	1210	0.2981972794
1220	1220	0.2952301669
1230	1230	0.2922925777
1240	1240	0.2893842179
1250	1250	0.2865047969
1260	1260	0.2836540265
1270	1270	0.2808316218
1280	1280	0.2780373005
1290	1290	0.2752707831
1300	1300	0.272531793
1310	1310	0.2698200564
1320	1320	0.267135302
1330	1330	0.2644772613
1340	1340	0.2618456686
1350	1350	0.2592402606
1360	1360	0.256660777
1370	1370	0.2541069596
1380	1380	0.2515785531
1390	1390	0.2490753046
1400	1400	0.2465969639
1410	1410	0.2441432832
1420	1420	0.2417140169
1430	1430	0.2393089222
